Name ; DataType ; Unit ; Description
Overload;boolean; ; Component is in Overload state.
Percent;decimal; Percent ;Generic dimensionless value reporting/setting value.
PhaseRotation;OptionList ; ; The phase wiring of Component, relative to it's upstream feed Component/device. This variable describes the phase rotation of a Component relative to its parent Component, using a three letter string consisting of the letters: R, S, T and x. The letter 'R' can be identified as phase 1 (L1), 'S' as phase 2 (L2), 'T' as phase 3 (L3). The lower case 'x' is used to designate a phase that is not connected. An empty string means that phase rotation is not applicable or not known.
PostChargingTime;decimal;s ; Elapsed time in seconds since last substantive energy transfer
Power;decimal;W,kW ; Instantaneous (real) Power (measured/calculated, including power factor for AC). Where a component (e.g. AC to DC Power Converter) has multiple power measurements, the default (unkeyed) instance is “input” power.
Problem;boolean; ; Component itself has a 'Problem' condition that impacts in any significant way on its normal operation. By definition, 'Problem' state includes (logical OR) 'Fault' state. 'Problem' specifically INCLUDES inability to operate that is propagated (up/down/sideways) from any other associated/connected/containing/contained Component.
Protecting;boolean;;Applies to 'sensor' type Components that have an associated protection capability, whereby they can  disconnect power (e.g. using the main PowerContactor) if the sensed quantity is outside preset/configured limits. If Protecting is true, the Component is actively preventing/interrupting charging.
RemainingTimeBulk;integer;s;Number of seconds remaining to charge to bulk state of charge, given by StateOfChargeBulk.
RemainingTimeFull;integer;s;Number of seconds remaining to charge to 100% state of charge.
SeccId;string;;The name of the SECC in the string format as required by ISO 15118.
SerialNumber;string ;; Serial number of Component.
SignalStrength;decimal;dBm ; (Radio/Wired/Optical) data signal strength, in ASU (typically 0-31 or 99 for unknown). Or dbmW (typically -140 to -50).
State;string; ; A state code or name identifier string, to allow the internal state of  components to be reported and/or  controlled
StateOfCharge;decimal;Percent ; Energy Storage Device (e.g. battery) state of charge, expressed as a percentage of nominal design 0-100% operating range. The value of StateOfCharge.maxSet represents the maximum state of charge for a full battery and is usually at or near 100%.
StateOfChargeBulk;decimal;Percent; Energy Storage Device (e.g. battery) state of charge up to which fast charging is possible. Above this percentage charging speed will drop significantly.
Storage;integer;B; In bytes. Amount of storage occupied. Storage(maxLimit) specifies absolute limit Storage(MaxSet) restricts usage to specified Max, if supported.
SupplyPhases; integer ; ; Number of alternating current phases connected/available. 1 or 3 for AC, 0 means DC (no alternating phases). Null value indicates that the number of phases (e.g. in use) is unknown.
Suspending;boolean;;If Suspending is true, the Component can is currently suspending charging.
Suspension;boolean;;Applies to 'sensor' type Components that have a charging suspension capability, typically for safety or equipment protection reasons. If Suspension is true, the component can suspend charging when the sensed quantity is outside preset/configured limits.
Temperature;decimal;Celsius, Fahrenheit ; Temperature(s) of component (in Celsius, by default). Components may have multiple indexed temperature sensors.
Time;dateTime;  ; Point in time value, in ISO 8601 datetime format. Time zone optional.
TimeOffset;string;; A Time Offset with respect to Coordinated Universal Time (aka UTC or Greenwich Mean Time) in the form of an [RFC3339] time (zone) offset suffix, including the mandatory “+” or “-“ prefix.
Timeout;decimal;s; Generic timeout value for Component operation (in seconds).
Token; string ;; String of bytes representing an ID token.
TokenType; OptionList;; Type of Token. Value is one of IdTokenEnumType.
Tries ; integer; ; Number of attempts done by a Component.
Tripped;boolean; ; Single-shot device requires explicit intervention to re-prime/activate to normal.
VehicleId;string;;ID that EV provides to charging station. Encoded as a hexbinary string. In ISO 15118 the EVCCID is 6 bytes (MAC address), in CHAdeMO the vehicle id can be 24 bytes.
VersionDate;dateTime;;[RFC3339]
VersionNumber;string;;Version number of hardware
VoltageImbalance;decimal;Percent; Percentage voltage imbalance in three phase supply.
