Specific Component;Variable;Instance;Required?;DataType;Unit;Description
DeviceDataCtrlr;BytesPerMessage;SetVariables;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ConfigurationValueSize;;no;integer;;The limit to the following fields: SetVariableData.attributeValue and VariableCharacteristics.valueList. The max size of these values will always remain equal.
DeviceDataCtrlr;ItemsPerMessage;GetReport;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ItemsPerMessage;GetVariables;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ItemsPerMessage;SetVariables;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ReportingValueSize;;no;integer;;The limit to the following fields: GetVariableResult.attributeValue, VariableAttribute.value and EventData.actualValue. The max size of these values will always remain equal.
DeviceDataCtrlr;ValueSize;;no;integer;;Can be used to limit the following fields: SetVariableData.attributeValue, GetVariableResult.attributeValue, VariableAttribute.value, VariableCharacteristics.valueList and EventData.actualValue.
DisplayMessageCtrlr;Available;;no;boolean;;Whether display messages are supported.
DisplayMessageCtrlr;DisplayMessages;;yes;integer;;Amount of different messages that are currently configured in this Charging Station, via SetDisplayMessageRequest
DisplayMessageCtrlr;Enabled;;no;boolean;;Whether display messages are enabled.
DisplayMessageCtrlr;PersonalMessageSize;;no;integer;;Max size (in characters) of the personal message element of the IdTokenInfo data (0 specifies no personal data may be stored).
DisplayMessageCtrlr;SupportedFormats;;yes;MemberList;;List of message formats supported by this Charging Station.
DisplayMessageCtrlr;SupportedPriorities;;yes;MemberList;;List of the priorities supported by this Charging Station.
DistributionPanel;ChargingStation;;no;string;;Identity of charging station connected to the distribution panel.
DistributionPanel;DistributionPanel;;no;string;;List of Distribution Panels InstanceNames connected to this LocalController.
DistributionPanel;Fuse;<n>;no;integer;A;Fuse (index n) is the fuse for phase Ln in Ampere
EVSE;AllowReset;;no;boolean;;Can be used to announce that an EVSE can be reset individually
EVSE;AvailabilityState;;yes;OptionList;;This variable reports current availability state for the EVSE
EVSE;Available;;yes;boolean;;Component exists
EVSE;EvseId;;no;string;;The name of the EVSE in the string format as required by ISO 15118 and IEC 63119-2.
EVSE;Power;;yes;decimal;W, kW;The variableCharacteristic maxLimit, that holds the maximum power that this EVSE can provide, is required. The Actual value of the instantaneous (real) power is desired, but not required.
EVSE;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
EVSE;ISO15118EvseId;;no;string;;"The name of the EVSE in the string format as required by ISO 15118 and IEC 63119-2. Example: ""DE*ICE*E*1234567890*1"""
FiscalMetering;EnergyExport;;no;decimal;Wh, kWh;Total energy transferred: e.g.  from EV during (ongoing or terminated) charging session (in wH by default)
FiscalMetering;EnergyExportRegister;;no;decimal;Wh, kWh;Cumulative export kWh register value, such as from a (certified) fiscal energy meter.
FiscalMetering;EnergyImport;;no;decimal;Wh, kWh;Total energy transferred.
FiscalMetering;EnergyImportRegister;;no;decimal;Wh, kWh;Cumulative export kWh register value, such as from a (certified) fiscal energy meter.
ISO15118Ctrlr;CentralContractValidationAllowed;;no;boolean;;If this variable exists and has the value true, then Charging Station can provide a contract certificate that it cannot validate, to the CSMS for validation as part of the AuthorizeRequest.
ISO15118Ctrlr;ContractValidationOffline;;yes;boolean;;If this variable is true, then Charging Station will try to validate a contract certificate when it is offline
ISO15118Ctrlr;SeccId;;no;string;;The ID of the SECC in string format as defined by ISO15118.
ISO15118Ctrlr;MaxScheduleEntries;;no;integer;;Maximum number of allowed schedule periods.
ISO15118Ctrlr;RequestedEnergyTransferMode;;no;OptionList;;The requested energy transfer mode.
ISO15118Ctrlr;RequestMeteringReceipt;;no;boolean;;If true, then Charging Station shall request a metering receipt from EV.
ISO15118Ctrlr;CountryName;;no;string;;"The countryName of the SECC in the ISO 3166-1 format. It is used as the countryName (C) of the SECC leaf certificate. Example: ""DE"""
ISO15118Ctrlr;OrganizationName;;no;string;;"The organizationName of the CSO operating the charging station. It is used as the organizationName (O) of the SECC leaf certificate. Example: ""John Doe Charging Services Ltd"" Note: This value will usually be identical to SecurityCtrlr.OrganizationName, but it does not have to be."
ISO15118Ctrlr;PnCEnabled;;no;boolean;;If this variable is true, then ISO 15118 plug and charge as described by use case C07 - Authorization using Contract Certificates is enabled. If this variable is false, then ISO 15118 plug and charge as described by use case C07 - Authorization using Contract Certificates is disabled.
ISO15118Ctrlr;V2GCertificateInstallationEnabled;;no;boolean;;If this variable is true, then ISO 15118 V2G Charging Station certificate installation as described by use case A02 - Update Charging Station Certificate by request of CSMS and A03 - Update Charging Station Certificate initiated by the Charging Station is enabled.  If this variable is false, then ISO 15118 V2G Charging Station certificate installation as described by use case A02 - Update Charging Station Certificate by request of CSMS and A03 - Update Charging Station Certificate initiated by the Charging Station is disabled.
ISO15118Ctrlr;ContractCertificateInstallationEnabled;;no;boolean;;If this variable is true, then ISO 15118 contract certificate installation/update as described by use case M01 - Certificate installation EV and M02 - Certificate Update EV is enabled. If this variable is false, then ISO 15118 contract certificate installation/update as described by use case M01 - Certificate installation EV and M02 - Certificate Update EV is disabled.
LocalAuthListCtrlr;Available;;no;boolean;;Local Authorization List is available.
LocalAuthListCtrlr;BytesPerMessage;;yes;integer;;Maximum number of bytes in a SendLocalList message.
LocalAuthListCtrlr;Enabled;;no;boolean;;If this variable exists and reports a value of true, Local Authorization List is enabled.
LocalAuthListCtrlr;Entries;;yes;integer;;Amount of IdTokens currently in the Local Authorization List
LocalAuthListCtrlr;ItemsPerMessage;;yes;integer;;Maximum number of records in SendLocalList
LocalAuthListCtrlr;Storage;;no;integer;B;Indicates the number of bytes currently used by the Local Authorization List. MaxLimit indicates the maximum number of bytes that can be used by the Local Authorization List.
LocalAuthListCtrlr;DisablePostAuthorize;;no;boolean;;When set to true this variable disables the behavior to request authorization for an idToken that is stored in the local authorization list with a status other than Accepted, as stated in C14.FR.03.
LocalEnergyStorage;Capacity;;no;decimal;Wh;Maximum storage capacity
MonitoringCtrlr;Available;;no;boolean;;Whether monitoring is available
MonitoringCtrlr;BytesPerMessage;ClearVariableMonitoring;no;integer;;Maximum number of bytes in a ClearVariableMonitoring message.
MonitoringCtrlr;BytesPerMessage;SetVariableMonitoring;yes;integer;;Maximum number of bytes in a SetVariableMonitoring message
MonitoringCtrlr;Enabled;;no;boolean;;Whether monitoring is enabled.
MonitoringCtrlr;ItemsPerMessage;ClearVariableMonitoring;no;integer;;Maximum number of IDs in a ClearVariableMonitoringRequest.
MonitoringCtrlr;ItemsPerMessage;SetVariableMonitoring;yes;integer;;Maximum number of setMonitoringData elements that can be sent in one setVariableMonitoringRequest message.
MonitoringCtrlr;OfflineQueuingSeverity;;no;integer;;When set and the Charging Station is offline, the Charging Station shall queue any notifyEventRequest messages triggered by a monitor with a severity number equal to or lower than the severity configured here.
MonitoringCtrlr;MonitoringBase;;no;OptionList;;Currently used monitoring base (readonly)
MonitoringCtrlr;MonitoringLevel;;no;integer;;Currently used monitoring level (readonly)
MonitoringCtrlr;ActiveMonitoringBase;;no;OptionList;;Shows the currently used MonitoringBase. Valid values according MonitoringBaseEnumType: All, FactoryDefault, HardwiredOnly.
MonitoringCtrlr;ActiveMonitoringLevel;;no;integer;;Shows the currently used MonitoringLevel. Valid values are severity levels of SetMonitoringLevelRequest: 0-9.
OCPPCommCtrlr;ActiveNetworkProfile;;no;string;;Indicates the configuration profile the station uses at that moment to connect to the network.
OCPPCommCtrlr;FileTransferProtocols;;yes;MemberList;;List of supported file transfer protocols
OCPPCommCtrlr;HeartbeatInterval;;no;integer;s;Interval of inactivity (no OCPP exchanges) with CSMS after which the Charging Station should send HeartbeatRequest.
OCPPCommCtrlr;MessageTimeout;Default;yes;integer;s;MessageTimeout(Default) specifies after which time a message times out. It is configured in the network connection profile.
OCPPCommCtrlr;MessageAttemptInterval;TransactionEvent;yes;integer;;MessageAttemptInterval(TransactionEvent) specifies long the Charging Station should wait before resubmitting a TransactionEventRequest message that the CSMS failed to process.
OCPPCommCtrlr;MessageAttempts;TransactionEvent;yes;integer;;MessageAttempts(TransactionEvent) specifies how often the Charging Station should try to submit a TransactionEventRequest message when the CSMS fails to process it.
OCPPCommCtrlr;NetworkConfigurationPriority;;yes;string;;A comma separated ordered list of the priority of the possible Network Connection Profiles.
OCPPCommCtrlr;NetworkProfileConnectionAttempts;;yes;integer;;Specifies the number of connection attempts the Charging Station executes before switching to a different profile.
OCPPCommCtrlr;OfflineThreshold;;yes;integer;s;When the offline period of a Charging Station exceeds the OfflineThreshold it is recommended to send a StatusNotificationRequest for all its Connectors.
OCPPCommCtrlr;PublicKeyWithSignedMeterValue;;no;OptionList;;This Configuration Variable can be used to configure whether a public key needs to be sent with a signed meter value. Note, that the field is required, so it needs to be present as an empty string when the public key is not sent.
OCPPCommCtrlr;QueueAllMessages;;no;boolean;;When this variable is set to true, the Charging Station will queue all message until they are delivered to the CSMS.
OCPPCommCtrlr;ResetRetries;;yes;integer;;Number of times to retry a reset of the Charging Station when a reset was unsuccessful
OCPPCommCtrlr;RetryBackOffRandomRange;;no;integer;;When the Charging Station is reconnecting, after a connection loss, it will use this variable as the maximum value for the random part of the back-off time
OCPPCommCtrlr;RetryBackOffRepeatTimes;;no;integer;;When the Charging Station is reconnecting, after a connection loss, it will use this variable for the amount of times it will double the previous back-off time.
OCPPCommCtrlr;RetryBackOffWaitMinimum;;no;integer;;When the Charging Station is reconnecting, after a connection loss, it will use this variable as the minimum back-off time, the first time it tries to reconnect.
OCPPCommCtrlr;UnlockOnEVSideDisconnect;;yes;boolean;;When set to true, the Charging Station SHALL unlock the cable on the Charging Station side when the cable is unplugged at the EV. For an EVSE with only fixed cables, the mutability SHALL be ReadOnly and the actual value SHALL be false. For a charging station with fixed cables and sockets, the variable is only applicable to the sockets.
OCPPCommCtrlr;WebSocketPingInterval;;no;integer;s;0 disables client side websocket Ping/Pong. In this case there is either no ping/pong or the server initiates the ping and client responds with Pong. Positive values are interpreted as number of seconds between pings. Negative values are not allowed.
OCPPCommCtrlr;FieldLength;;no;integer;;This variable is used to report the length of <field> in <message> when it is larger than the length that is defined in the standard OCPP message schema.
ReservationCtrlr;Available;;no;boolean;;Whether reservation is supported.
ReservationCtrlr;Enabled;;no;boolean;;Whether reservation is enabled.
ReservationCtrlr;NonEvseSpecific;;no;boolean;;If this configuration variable is present and set to true: Charging Station supports Reservation where EVSE id is not specified.
SampledDataCtrlr;Available;;no;boolean;;If this variable reports a value of true, Sampled Data is supported
SampledDataCtrlr;Enabled;;no;boolean;;If this variable reports a value of true, Sampled Data is enabled.
SampledDataCtrlr;SignReadings;;no;boolean;;If set to true, the Charging Station SHALL include signed meter values in the TransactionEventRequest to the CSMS
SampledDataCtrlr;TxEndedInterval;;yes;integer;s;Interval between sampling of metering (or other) data, intended to be transmitted in the TransactionEventRequest (eventType = Ended) message.
SampledDataCtrlr;TxEndedMeasurands;;yes;MemberList;;Sampled measurands to be included in the meterValues element of TransactionEventRequest (eventType = Ended), every SampledDataTxEndedInterval seconds from the start of the transaction.
SampledDataCtrlr;TxStartedMeasurands;;yes;MemberList;;Sampled measurand(s) to be taken at the start of any transaction to be included in the meterValues field of the first TransactionEventRequest message send at the start of a transaction (eventType = Started)
