Specific Component;Variable;Instance;Required?;DataType;Unit;Description
<generic>;Enabled;;no;boolean;;The Component is Enabled for operation. For Available components that cannot be selectively (remotely) enabled / disabled, this value is always true. Note: Available cannot be false of Enabled is true, so during inventory reporting, Enabled=1 also logically states Available=true
<generic>;Energy;;no;decimal;Wh, kWh;Energy quantity (in Wh) for reporting/configuring values related to stored energy (i.e. not transferred energy).
<generic>;Entries;;no;integer;;General purpose variable for reporting/managing numbers of entries in repetitive data structures. maxLimit characteristic reports maximum possible entries.
<generic>;Fallback;;no;boolean;;Component is operating in a fallback, or backup mode. In inventory reports, a Value of 1 for the maxLimit characteristic indicates that the component can enter a fallback state (i.e. a fallback mode is present).
<generic>;FanSpeed;;no;decimal;RPM;Fan Speed (in RPM). A value of 0 represents stopped/stalled. An empty value indicates that fan speed cannot be read.
<generic>;FirmwareVersion;;no;string;;Version number of firmware.
<generic>;Force;;no;decimal;N;Reports (impact) force/ acceleration values (estimates) in one or more directions, in units of Newtons or ‚Äúg‚Äù. Multiple force readings in different (orthogonal) dimensions may be reported using Variable instance values, such as Down, Right, Forward.
<generic>;Formats;;no;MemberList;;List of message formats supported by this Charging Station. Possible values: ASCII, HTML, URI, UTF-8.
<generic>;Frequency;;no;decimal;Hz;Frequency of AC power, signal, or component operation.
<generic>;FuseRating;;no;decimal;A;Current rating of a fuse/breaker. Variable instances keyed by phase identifier (L1/L2/L3/N).
<generic>;Height;;no;decimal;m;Height above(+)/below(-) reference level (ground level unless context demands otherwise).
<generic>;Humidity;;no;decimal;RH;The relative humidity in %.
<generic>;Hysteresis;;no;decimal;Percent;Specifies the width of a 'dead band' (as a percentage of the threshold) around the central value of a threshold setting (e.g. MinSet, MaxSet, monitor thresholds) to avoid repeated triggering when the measured quantity lies close to the threshold and is subject to small variations.
<generic>;ICCID;;no;string;;ICCID (Integrated Circuit Card IDentifier) of mobile data SIM card.
<generic>;Impedance;;no;decimal;Ohm;Impedance: Primary value is real (resistive only) impedance. Where a complex impedance is to be reported, the imaginary part (reactance) must be represented with a separate Variable instance value of 'reactance'. Reactance values are expressed at the (nominal) relevant operating frequency of the Component (e.g. 50/60Hz for mains electricity feed).
<generic>;IMSI;;no;string;;IMSI (International Mobile Subscriber Identity) number of mobile data SIM card
<generic>;Interval;;no;integer;s;Minimum Interval (in seconds) between (attempted) operations.
<generic>;Length;;no;decimal;m;General Purpose linear distance measure.
<generic>;Light;;no;decimal;lx;(Ambient) light level. The value is in Lux.
<generic>;Manufacturer;;no;string;;Component Manufacturer name
<generic>;Message;;no;string;;Specific stored message for display.
<generic>;MinimumStatusDuration;;no;integer;s;Minimum duration that a Charging Station or EVSE status is stable before StatusNotificationRequest is sent to the CSMS.
<generic>;Mode;;no;string;;Operating mode string from among valid options (communicated by OptionList, etc. during capability/configuration  discovery).
<generic>;Model;;no;string;;"Manufacturer's Model code/number of Component, including suffixes etc. to identify functional, regional or linguistic variation, but NOT engineering change level internal 				variation not affecting external behaviour, etc."
<generic>;NetworkAddress;;no;string;;Current network address of a Component.
<generic>;Operated;;no;boolean;;The Component operated in an instantaneous, transient, or immediately self-resetting pattern. Used only in event notifications, where it is always true.
<generic>;OperatingTimes;;no;string;;Recurring operating times in iCalendar RRULE format.
<generic>;Overload;;no;boolean;;Component is in Overload state.
<generic>;Percent;;no;decimal;Percent;Generic dimensionless value reporting/setting value.
<generic>;PhaseRotation;;no;OptionList;;The phase wiring of Component, relative to it's upstream feed Component/device. This variable describes the phase rotation of a Component relative to its parent Component, using a three letter string consisting of the letters: R, S, T and x. The letter 'R' can be identified as phase 1 (L1), 'S' as phase 2 (L2), 'T' as phase 3 (L3). The lower case 'x' is used to designate a phase that is not connected. An empty string means that phase rotation is not applicable or not known.
<generic>;PostChargingTime;;no;decimal;s;Elapsed time in seconds since last substantive energy transfer
<generic>;Power;;no;decimal;W, kW;Instantaneous (real) Power (measured/calculated, including power factor for AC). Where a component (e.g. AC to DC Power Converter) has multiple power measurements, the default (unkeyed) instance is ‚Äúinput‚Äù power.
<generic>;Problem;;no;boolean;;Component itself has a 'Problem' condition that impacts in any significant way on its normal operation. By definition, 'Problem' state includes (logical OR) 'Fault' state. 'Problem' specifically INCLUDES inability to operate that is propagated (up/down/sideways) from any other associated/connected/containing/contained Component.
<generic>;Protecting;;no;boolean;;Applies to 'sensor' type Components that have an associated protection capability, whereby they can  disconnect power (e.g. using the main PowerContactor) if the sensed quantity is outside preset/configured limits. If Protecting is true, the Component is actively preventing/interrupting charging.
<generic>;SerialNumber;;no;string;;Serial number of Component.
<generic>;SignalStrength;;no;decimal;dBm;(Radio/Wired/Optical) data signal strength, in ASU (typically 0-31 or 99 for unknown). Or dbmW (typically -140 to -50).
<generic>;State;;no;string;;A state code or name identifier string, to allow the internal state of  components to be reported and/or  controlled
<generic>;StateOfCharge;;no;decimal;Percent;Energy Storage Device (e.g. battery) state of charge, expressed as a percentage of nominal design 0-100% operating range. Note: Values below or above 0-100% are possible and represent over discharged/charged states.
<generic>;Storage;;no;integer;B;In bytes. Amount of storage occupied. Storage(maxLimit) specifies absolute limit Storage(MaxSet) restricts usage to specified Max, if supported.
<generic>;SupplyPhases;;no;integer;;Number of alternating current phases connected/available. 1 or 3 for AC, 0 means DC (no alternating phases). Null value indicates that the number of phases (e.g. in use) is unknown.
<generic>;Suspending;;no;boolean;;If Suspending is true, the Component can is currently suspending charging.
<generic>;Suspension;;no;boolean;;Applies to 'sensor' type Components that have a charging suspension capability, typically for safety or equipment protection reasons. If Suspension is true, the component can suspend charging when the sensed quantity is outside preset/configured limits.
<generic>;Temperature;;no;decimal;Celsius, Fahrenheit;Temperature(s) of component (in Celsius, by default). Components may have multiple indexed temperature sensors.
<generic>;Time;;no;dateTime;;Point in time value, in ISO 8601 datetime format. Time zone optional.
<generic>;Timeout;;no;decimal;s;Generic timeout value for Component operation (in seconds).
<generic>;Tries;;no;integer;;Number of attempts done by a Component.
<generic>;Tripped;;no;boolean;;Single-shot device requires explicit intervention to re-prime/activate to normal.
<generic>;VendorName;;no;string;;Vendor or manufacturer of component.
<generic>;VersionDate;;no;dateTime;;Version date of component in [RFC3339] format.
<generic>;VersionNumber;;no;string;;Version number of hardware
<generic>;VoltageImbalance;;no;decimal;Percent;Percentage voltage imbalance in three phase supply.
<generic>;CommunicationParent;;no;string;;Points to a communication parent component (data flow source), to allow rendering the communication hierarchy in a UI.
<generic>;ElectricalParent;;no;string;;Points to a electrical parent component (energy flow source), to allow rendering the electrical hierarchy in a UI.
<generic>;LogicalParent;;no;string;;Points to a logical parent component, to allow rendering a comprehensive overview of the Charging Station components in a UI.
<generic>;PhysicalParent;;no;string;;Points to a physical parent component (container), to allow rendering an overview of the Charging Station component locations in a UI. 
<generic>;Label;;no;string;;Specifies a non-unique label to be used in a hierarchy UI rendering, in place of the unique component name and instance, in case a duplicate label is needed.
AlignedDataCtrlr;Available;;no;boolean;;If this variable reports a value of true, Clock-Aligned Data is supported.
AlignedDataCtrlr;Enabled;;no;boolean;;If this variable reports a value of true, Clock-Aligned Data is enabled
AlignedDataCtrlr;Interval;;yes;integer;s;Size (in seconds) of the clock-aligned data interval, intended to be transmitted in the MeterValuesRequest or TransactionEventRequest message.
AlignedDataCtrlr;Measurands;;yes;MemberList;;Clock-aligned measurand(s) to be included in MeterValuesRequest or TransactionEventRequest, every AlignedDataInterval seconds.
AlignedDataCtrlr;SendDuringIdle;;no;boolean;;If set to true, the Charging Station SHALL NOT send clock aligned meter values when a transaction is ongoing.
AlignedDataCtrlr;SignReadings;;no;boolean;;If set to true, the Charging Station SHALL include signed meter values in the SampledValueType in theTransactionEventRequest(Ended).
AlignedDataCtrlr;SignUpdatedReadings;;no;boolean;;If set to true, the Charging Station SHALL include signed meter values in the SampledValueType in theTransactionEventRequest(Updated).
AlignedDataCtrlr;TxEndedInterval;;yes;integer;s;Size (in seconds) of the clock-aligned data interval, intended to be transmitted in the TransactionEventRequest (eventType = Ended) message.
AlignedDataCtrlr;TxEndedMeasurands;;yes;MemberList;;Clock-aligned measurands to be included in the meterValues element of TransactionEventRequest (eventType = Ended), every SampledDataTxEndedInterval seconds from the start of the transaction.
AlignedDataCtrlr;UpstreamInterval;;no;integer;s;Size (in seconds) of the clock-aligned data interval, intended to be transmitted in the MeterValuesRequest message for location `Upstream` only.
AlignedDataCtrlr;UpstreamMeasurands;;no;MemberList;;Clock-aligned measurand(s) to be included in MeterValuesReques for location `Upstream` only.
AuthCacheCtrlr;Available;;no;boolean;;Authorization caching is available, but not necessarily enabled.
AuthCacheCtrlr;Enabled;;no;boolean;;If set to true, Authorizaiton caching is enabled.
AuthCacheCtrlr;LifeTime;;no;integer;;Indicates how long it takes until a token expires in the authorization cache since it is last used
AuthCacheCtrlr;Policy;;no;OptionList;;Cache Entry Replacement Policy: least recently used, least frequently used, first in first out, other custom mechanism.
AuthCacheCtrlr;Storage;;no;integer;B;Indicates the number of bytes currently used by the Authorization Cache. MaxLimit indicates the maximum number of bytes that can be used by the Authorization Cache.
AuthCacheCtrlr;DisablePostAuthorize;;no;boolean;;When set to true this variable disables the behavior to request authorization for an idToken that is stored in the cache with a status other than Accepted, as stated in C10.FR.03 and C12.FR.05.
AuthCtrlr;AdditionalInfoItemsPerMessage;;no;integer;;Maximum number of AdditionalInfo items that can be sent in one message.
AuthCtrlr;AuthorizeRemoteStart;;yes;boolean;;Whether a remote request to start a transaction in the form of RequestStartTransactionRequest message should be authorized beforehand like a local action to start a transaction.
AuthCtrlr;Enabled;;no;boolean;;If set to false, then no authorization is done before starting a transaction or when reading an idToken. If an idToken was provided, then it will be put in the idToken field of the TransactionEventRequest. If no idToken was provided, then idToken in TransactionEventRequest will be left empty and type is set to NoAuthorization.
AuthCtrlr;LocalAuthorizeOffline;;yes;boolean;;Whether the Charging Station, when Offline, will start a transaction for locally-authorized identifiers
AuthCtrlr;LocalPreAuthorize;;yes;boolean;;Whether the Charging Station, when online, will start a transaction for locally-authorized identifiers without waiting for or requesting an AuthorizeResponse from the CSMS.
AuthCtrlr;MasterPassGroupId;;no;string;;IdTokens that have this id as groupId belong to the Master Pass Group. Meaning they can stop any ongoing transaction, but cannot start transactions.
AuthCtrlr;OfflineTxForUnknownIdEnabled;;no;boolean;;Support for unknown offline transactions.
AuthCtrlr;DisableRemoteAuthorization;;no;boolean;;When set to true this instructs the Charging Station to not issue any AuthorizationRequests, but only use Authorization Cache and Local Authorization List to determine validity of idTokens.
AuthCtrlr;SupportedIdTokenType;;no;MemberList;;"The subset of the list of supported IdTokenTypes as defined in Appendix 7. ""Standardized values for enumerations as string: IdTokenEnumStringType"", that is supported by the Charging Station."
CHAdeMOCtrlr;SelftestActive;;no;boolean;;Self-test is active or self-test is started by setting to true.
CHAdeMOCtrlr;CHAdeMOProtocolNumber;;no;integer;;CHAdeMO protocol number (H'102.0)
CHAdeMOCtrlr;VehicleStatus;;no;boolean;;Vehicle status (H'102.5.3)
CHAdeMOCtrlr;DynamicControl;;no;boolean;;Vehicle is compatible with dynamic control (H'110.0.0)
CHAdeMOCtrlr;HighCurrentControl;;no;boolean;;Vehicle is compatible with high current control (H'110.0.1)
CHAdeMOCtrlr;HighVoltageControl;;no;boolean;;Vehicle is compatible with high voltage control (H'110.1.2)
CHAdeMOCtrlr;AutoManufacturerCode;;no;integer;;Auto manufacturer code (H'700.0)
ChargingStation;AllowNewSessionsPendingFirmwareUpdate;;no;boolean;;Indicates whether new sessions can be started on EVSEs, while Charging Station is waiting for all EVSEs to become Available in order to start a pending firmware update
ChargingStation;AvailabilityState;;yes;OptionList;;This variable reports current availability state for the ChargingStation
ChargingStation;Available;;yes;boolean;;Component exists
ChargingStation;Model;;no;string;;Charging station model as reported in BootNotification.
ChargingStation;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
ChargingStation;VendorName;;no;string;;Charging station vendor name as reported in BootNotification.
ChargingStation;ActiveTransactionId;;no;string;;This variable for the ChargingStation component contains a comma-separated list of transaction IDs actively running on the Charging Station.
ClockCtrlr;DateTime;;yes;dateTime;;Contains the current date and time
ClockCtrlr;NextTimeOffsetTransitionDateTime;;no;dateTime;;Date time of the next time offset transition.
ClockCtrlr;NtpServerUri;;no;string;;This contains the address of the NTP server.
ClockCtrlr;NtpSource;;no;OptionList;;When an NTP client is implemented, this variable can be used to configure the client
ClockCtrlr;TimeAdjustmentReportingThreshold;;no;integer;;If set, then time adjustments with an absolute value in seconds larger than this need to be reported as a security event SettingSystemTime
ClockCtrlr;TimeOffset;;no;string;;A Time Offset with respect to Coordinated Universal Time (aka UTC or Greenwich Mean Time) in the form of an [RFC3339] time (zone) offset suffix, including the mandatory +ùor - prefix.
ClockCtrlr;TimeSource;;yes;SequenceList;;Via this variable, the Charging Station provides the CSMS with the option to configure multiple clock sources
ClockCtrlr;TimeZone;;no;string;;"Configured current local time zone in the format: ""Europe/Oslo"", ""Asia/Singapore"" etc. For display purposes."
ConnectedEV;ProtocolAgreed;;V2X;string;;Information about uri and version that was agreed upon between EV and EVSE in the supportedAppProtocolReq message from ISO 15118. Example: urn:iso:15118:2:2013:MsgDef,2,0
ConnectedEV;ProtocolSupportedByEV;<Priority>;V2X;string;;Information from the supportedAppProtocolReq message from ISO 15118. Each priority is given its own variable instance. Example: urn:iso:15118:2:2013:MsgDef,2,0
ConnectedEV;VehicleID;;V2X;string;;EVCCID (from ISO 15118 SessionSetupReq)
ConnectedEV;VehicleCertificate;Leaf;V2X;string;;The PEM encoded X.509 Leaf certificate of the vehicle certificate chain
ConnectedEV;VehicleCertificate;SubCA1;V2X;string;;The PEM encoded X.509 Intermediate certificate of the vehicle certificate chain
ConnectedEV;VehicleCertificate;SubCA2;V2X;string;;The PEM encoded X.509 Intermediate certificate of the vehicle certificate chain
ConnectedEV;VehicleCertificate;Root;V2X;string;;The PEM encoded X.509 Root certificate of the vehicle certificate chain
ConnectedEV;ACCurrent.min/maxSet;;no;decimal;A;EV min/max AC current
ConnectedEV;DCCurrent.min/maxSet;;no;decimal;A;EV min/max DC current
ConnectedEV;DCCurrent.target;;no;decimal;V;EV target current from DC_ChargeLoopReq
ConnectedEV;DCVoltage.min/maxSet;;no;decimal;V;EV min/max DC voltage
ConnectedEV;DCVoltage.target;;no;decimal;V;EV target voltage from DC_ChargeLoopReq
ConnectedEV;Power.maxSet;;no;decimal;W;EV max power limit
ConnectedEV;DischargePower.maxSet;;no;decimal;W;EV max discharge power limit
ConnectedEV;EnergyImport.maxSet;;no;decimal;Wh;EV energy capacity / maximum energy request
ConnectedEV;EnergyImport.minSet;;no;decimal;Wh;EV minimum energy request
ConnectedEV;EnergyImport.target;;no;decimal;Wh;EV target energy request
ConnectedEV;BatteryCapacity;;no;decimal;Wh;EV battery capacity
ConnectedEV;DepartureTime;;no;DateTime;;EV planned departure time
ConnectedEV;RemainingTimeBulk;;no;integer;s;Remaining time to bulk SoC
ConnectedEV;RemainingTimeFull;;no;integer;s;Remaining time to full SoC
ConnectedEV;StateOfChargeBulk;;no;integer;%;Defined % for bulk SoC
ConnectedEV;StateOfCharge.maxSet;;no;integer;%;Defined % for full SoC
ConnectedEV;StateOfCharge.actual;;no;integer;%;Current SoC
ConnectedEV;ChargingCompleteBulk;;no;boolean;;Charging to bulk SoC is complete
ConnectedEV;ChargingCompleteFull;;no;boolean;;Charging to full SoC is complete
ConnectedEV;ChargingState;;no;OptionList;;EVTerminationCode to signal error condition
Connector;AvailabilityState;;no;OptionList;;This variable reports current availability state for the Connector. Optional, because already reported in StatusNotification.
Connector;Available;;yes;boolean;;Component exists
Connector;ChargeProtocol;;no;string;;The Charging Control Protocol applicable to a Connector. CHAdeMO: CHAdeMO protocol, ISO15118: ISO15118 V2G protocol (wired or wireless) as used with CCS, CPPWM: IEC61851-1 / SAE J1772  protocol (ELV DC & PWM signalling via Control Pilot wire), Uncontrolled: No charging power management applies (e.g. Schuko socket), Undetermined: Yet to be determined (e.g. before plugged in), Unknown: Not determinable, NOTE: ChargeProtocol is distinct from and orthogonal to connectorType.
Connector;ConnectorType;;yes;string;;A value of ConnectorEnumType (See part 2) plus additionally: cGBT, cChaoJi, OppCharge. Specific type of connector, including sub-variant information. Note: Distinct and orthogonal to Charging Protocol, Power Type, Phases.
Connector;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
Connector;SlotStatus;;no;OptionList;;Battery slot status of swapping station: Open, Locked, Faulted.
CPPWMController;State;;no;string;;"IEC 61851-1 states (""A"" to ""E"")"
CustomizationCtrlr;CustomImplementationEnabled;<vendorId>;no;boolean;;Custom implementation <vendorId> has been enabled.
CustomizationCtrlr;CustomTriggers;;no;MemberList;;This variable defines the names of custom triggers that Charging Station supports in a customTrigger field of TriggerMessageRequest.
DeviceDataCtrlr;BytesPerMessage;GetReport;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;BytesPerMessage;GetVariables;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;BytesPerMessage;SetVariables;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ConfigurationValueSize;;no;integer;;The limit to the following fields: SetVariableData.attributeValue and VariableCharacteristics.valueList. The max size of these values will always remain equal.
DeviceDataCtrlr;ItemsPerMessage;GetReport;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ItemsPerMessage;GetVariables;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ItemsPerMessage;SetVariables;yes;integer;;Maximum number of ComponentVariable entries in message related to the instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;ReportingValueSize;;no;integer;;The limit to the following fields: GetVariableResult.attributeValue, VariableAttribute.value and EventData.actualValue. The max size of these values will always remain equal.
DeviceDataCtrlr;ValueSize;;no;integer;;Can be used to limit the following fields: SetVariableData.attributeValue, GetVariableResult.attributeValue, VariableAttribute.value, VariableCharacteristics.valueList and EventData.actualValue.
DisplayMessageCtrlr;Available;;no;boolean;;Whether display messages are supported.
DisplayMessageCtrlr;DisplayMessages;;yes;integer;;Amount of different messages that are currently configured in this Charging Station, via SetDisplayMessageRequest
DisplayMessageCtrlr;Enabled;;no;boolean;;Whether display messages are enabled.
DisplayMessageCtrlr;SupportedStates;;yes;MemberList;;List of the states during which to display a message supported by this Charging Station.
DisplayMessageCtrlr;SupportedFormats;;yes;MemberList;;List of message formats supported by this Charging Station.
DisplayMessageCtrlr;SupportedPriorities;;yes;MemberList;;List of the priorities supported by this Charging Station.
DisplayMessageCtrlr;Language;;yes;OptionList;;Default language code, per RFC 5646, of this Charging Station. Languages that are supported are listed in the valuesList.
EVSE;AllowReset;;no;boolean;;Can be used to announce that an EVSE can be reset individually
EVSE;AvailabilityState;;yes;OptionList;;This variable reports current availability state for the EVSE
EVSE;Available;;yes;boolean;;Component exists
EVSE;EvseId;;no;string;;The name of the EVSE in the string format as required by ISO 15118 and IEC 63119-2.
EVSE;Power;;yes;decimal;W, kW;The variableCharacteristic maxLimit, that holds the maximum power that this EVSE can provide, is required. The Actual value of the instantaneous (real) power is desired, but not required.
EVSE;DischargePower;;V2X;decimal;W, kW;The variableCharacteristic maxLimit holds the maximum rated discharge power that this EVSE can provide.  The variableCharacteristic maxSet holds the maximum configured discharge power that this EVSE can provide. The Actual value of the instantaneous (real) discharge power is recommended to be supported, but not required. Discharge power is represented by a positive value.
EVSE;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
EVSE;DCInputPhaseControl;;no;boolean;; When DCInputPhaseControl is true, then the values of numberPhases and PhaseToUse in a ChargingSchedulePeriodType will select the input phases from the grid to be used by the DC EVSE.
EVSE;ISO15118EvseId;;no;string;;"The name of the EVSE in the string format as required by ISO 15118 and IEC 63119-2. Example: ""DE*ICE*E*1234567890*1"""
EVSE;ChargingState;;no;OptionList;;This variable reports the current transaction charging state for an EVSE.
EVSE;ActiveTransactionId;;no;string;;This variable contains the transaction ID of the running transaction at the EVSE. If no transaction is active, it is an empty string.
FiscalMetering;EnergyExport;;no;decimal;Wh, kWh;Total energy transferred: e.g.  from EV during (ongoing or terminated) charging session (in wH by default)
FiscalMetering;EnergyExportRegister;;no;decimal;Wh, kWh;Cumulative export kWh register value, such as from a (certified) fiscal energy meter.
FiscalMetering;EnergyImport;;no;decimal;Wh, kWh;Total energy transferred.
FiscalMetering;EnergyImportRegister;;no;decimal;Wh, kWh;Cumulative export kWh register value, such as from a (certified) fiscal energy meter.
FiscalMetering;PublicKey ;;no;string;;The public key for a meter connected to a specific EVSE.
ISO15118Ctrlr;CentralContractValidationAllowed;;no;boolean;;If this variable exists and has the value true, then Charging Station can provide a contract certificate that it cannot validate, to the CSMS for validation as part of the AuthorizeRequest.
ISO15118Ctrlr;ContractValidationOffline;;yes;boolean;;If this variable is true, then Charging Station will try to validate a contract certificate when it is offline
ISO15118Ctrlr;SeccId;;no;string;;The ID of the SECC in string format as defined by ISO15118.
ISO15118Ctrlr;MaxScheduleEntries;;no;integer;;Maximum number of allowed schedule periods.
ISO15118Ctrlr;RequestedEnergyTransferMode;;no;OptionList;;The requested energy transfer mode.
ISO15118Ctrlr;RequestMeteringReceipt;;no;boolean;;If true, then Charging Station shall request a metering receipt from EV.
ISO15118Ctrlr;CountryName;;no;string;;"The countryName of the SECC in the ISO 3166-1 format. It is used as the countryName (C) of the SECC leaf certificate. Example: ""DE"""
ISO15118Ctrlr;OrganizationName;;no;string;;"The organizationName of the CSO operating the charging station. It is used as the organizationName (O) of the SECC leaf certificate. Example: ""John Doe Charging Services Ltd"" Note: This value will usually be identical to SecurityCtrlr.OrganizationName, but it does not have to be."
ISO15118Ctrlr;PnCEnabled;;no;boolean;;If this variable is true, then ISO 15118 plug and charge as described by use case C07 - Authorization using Contract Certificates is enabled. If this variable is false, then ISO 15118 plug and charge as described by use case C07 - Authorization using Contract Certificates is disabled.
ISO15118Ctrlr;V2GCertificateInstallationEnabled;;no;boolean;;If this variable is true, then ISO 15118 V2G Charging Station certificate installation as described by use case A02 - Update Charging Station Certificate by request of CSMS and A03 - Update Charging Station Certificate initiated by the Charging Station is enabled.  If this variable is false, then ISO 15118 V2G Charging Station certificate installation as described by use case A02 - Update Charging Station Certificate by request of CSMS and A03 - Update Charging Station Certificate initiated by the Charging Station is disabled.
ISO15118Ctrlr;ContractCertificateInstallationEnabled;;no;boolean;;If this variable is true, then ISO 15118 contract certificate installation/update as described by use case M01 - Certificate installation EV and M02 - Certificate Update EV is enabled. If this variable is false, then ISO 15118 contract certificate installation/update as described by use case M01 - Certificate installation EV and M02 - Certificate Update EV is disabled.
ISO15118Ctrlr;CertificateStatusSource;;no;MemberList;;When present, this variable tells CSMS whether Charging Station uses OCSP or CRL to check for revoked certificates.
ISO15118Ctrlr;NotificationDelay;;no;integer;s;The SECC (EVSE) uses the NotificationMaxDelay element in the EVSEStatus to indicate the time in seconds until it expects the EVCC (EV) to react on the action request indicated in EVSENotification.
ISO15118Ctrlr;ServiceRenegotiationSupport;;no;boolean;;If set to 'True' the SECC (EVSE) is capable of ServiceRenegotiation.
ISO15118Ctrlr;SupportedProviders;;no;string;;A comma-separated list of all providers (eMSPs) that are supported on this Charging Station. The providers are listed using country and provider ID from the EMAID, as defined in ISO 15118-20. 
ISO15118Ctrlr;MaxPriceElements;;no;integer;;The maximum number of priceRuleStacks and priceLevelScheduleEntries that Charging Station is able to accept in a ChargingScheduleType.
ISO15118Ctrlr;ProtocolSupported;1, 2 .. 20;no;string;;A string with the following comma-separated items:  ì<uri>,<major>,<minor>î. <uri> is in the format as used in the SupportedAppProtocolReq message from ISO 15118-2 and ISO 15118-20.
LocalAuthListCtrlr;Available;;no;boolean;;Local Authorization List is available.
LocalAuthListCtrlr;BytesPerMessage;;yes;integer;;Maximum number of bytes in a SendLocalList message.
LocalAuthListCtrlr;Enabled;;no;boolean;;If this variable exists and reports a value of true, Local Authorization List is enabled.
LocalAuthListCtrlr;Entries;;yes;integer;;Amount of IdTokens currently in the Local Authorization List
LocalAuthListCtrlr;ItemsPerMessage;;yes;integer;;Maximum number of records in SendLocalList
LocalAuthListCtrlr;Storage;;no;integer;B;Indicates the number of bytes currently used by the Local Authorization List. MaxLimit indicates the maximum number of bytes that can be used by the Local Authorization List.
LocalAuthListCtrlr;DisablePostAuthorize;;no;boolean;;When set to true this variable disables the behavior to request authorization for an idToken that is stored in the local authorization list with a status other than Accepted, as stated in C14.FR.03.
LocalAuthListCtrlr;SupportsExpiryDateTime;;no;boolean;;When set to true Charging Station will disregard idTokens for authorization as if not present in the Local Authorization List when current date/time is past the value of cacheExpiryDateTime.
